text@rvb1977m	@rvb1977m	263.45	273.649	потом кто-то подходил / я говорю / здравствуйте / я приехал из Таганрога / я пишу песни / да / я хочу петь вот // они мне говорили / ну через две недельки перезвоните 
text@rvb1977m	@rvb1977m	275.135	277.962	я очень удивлялся // думаю / как? им не нужны таланты? // 
text@rvb1977m	@rvb1977m	278.491	281.497	ну потом я понял / что это все бессмысленно / это ничего не работает
text@rvb1977m	@rvb1977m	282.736	285.494	это все какое-то надувательство // 
text@rvb1977m	@rvb1977m	286.091	291.473	и я решил искать работу для того / чтобы просто жить // 
text@rvb1977m	@rvb1977m	297.557	298.832	откры / открывайте /
text@rvb1977m	@rvb1977m	299.059	300.22	открывайте все //
text@rvb1977m	@rvb1977m	300.904	306.148	давайте все-таки я открою / потому что ногти опять же / а у меня нет их // 
text@rvb1977m	@rvb1977m	310.046	311.194	с красочкой // 
text@rvb1977m	@rvb1977m	312.003	314.506	это скорее всего водоэмульсионная краска // 
text@rvb1977m	@rvb1977m	316.478	318.176	перчатки можно / пожалуйста // 
text@rvb1977m	@rvb1977m	319.215	327.999	вот эта штука / это ванна называется // а вот эта штука / здесь очищается / а точнее снимается / да / лищняя краска с валика // 
text@iys1984f	@iys1984f	0.5	1.979	 а зачем ты поехал в Москву? //
text@iys1984f	@iys1984f	122.11	124.095	а что вообще ты тогда знал о Москве? //
text@iys1984f	@iys1984f	138.831	139.546	интеллигенция // 
text@iys1984f	@iys1984f	166.011	168.13	ты сюда явно не из культуры ходил смотреть //
text@iys1984f	@iys1984f	174.725	176.457	вот где ты распевался / я поняла //
text@iys1984f	@iys1984f	178.366	179.029	что здесь было? //
text@iys1984f	@iys1984f	188.744	191.407	а сложно тогда было получить работу строителя в Москве? //
text@iys1984f	@iys1984f	198.91	199.1	мм //
text@iys1984f	@iys1984f	201.337	206.959	и никогда не было такого / что блин / ну я же приехал петь вроде как / а занимаюсь какой-то фигней / вот? // 
text@iys1984f	@iys1984f	296.233	297.969	давайте / бригадир! командуйте / что делать //
text@iys1984f	@iys1984f	298.989	299.592	откры /   открывать //
text@iys1984f	@iys1984f	300.896	301.095	так // 
text@iys1984f	@iys1984f	309.567	309.839	таак // 
text@iys1984f	@iys1984f	314.994	316.351	перчатки можно будет надеть? //
text@iys1984f	@iys1984f	318.393	318.753	спасибо //
text@iys1984f	@iys1984f	325.592	325.854	валик // 
words@rvb1977m	@rvb1977m	2.066	2.389	я
words@rvb1977m	@rvb1977m	2.389	2.712	ехал
words@rvb1977m	@rvb1977m	2.712	3.035	в
words@rvb1977m	@rvb1977m	3.035	3.358	Москву
words@rvb1977m	@rvb1977m	3.358	3.681	петь
words@rvb1977m	@rvb1977m	3.681	4.005	песни
words@rvb1977m	@rvb1977m	4.29	4.508	потому
words@rvb1977m	@rvb1977m	4.508	4.726	что
words@rvb1977m	@rvb1977m	4.726	4.944	нужно
words@rvb1977m	@rvb1977m	4.944	5.162	было
words@rvb1977m	@rvb1977m	5.162	5.38	пробовать
words@rvb1977m	@rvb1977m	5.38	5.598	потому
words@rvb1977m	@rvb1977m	5.598	5.816	что
words@rvb1977m	@rvb1977m	5.816	6.034	всё
words@rvb1977m	@rvb1977m	6.034	6.252	что
words@rvb1977m	@rvb1977m	6.252	6.47	можно
words@rvb1977m	@rvb1977m	6.47	6.688	было
words@rvb1977m	@rvb1977m	6.688	6.906	сделать
words@rvb1977m	@rvb1977m	6.906	7.124	в
words@rvb1977m	@rvb1977m	7.124	7.342	Таганроге
words@rvb1977m	@rvb1977m	7.342	7.56	я
words@rvb1977m	@rvb1977m	7.56	7.783	сделал
words@rvb1977m	@rvb1977m	8.447	8.694	мы
words@rvb1977m	@rvb1977m	8.694	8.941	ездили
words@rvb1977m	@rvb1977m	8.941	9.188	на
words@rvb1977m	@rvb1977m	9.188	9.435	какие-то
words@rvb1977m	@rvb1977m	9.435	9.683	фестивали
words@rvb1977m	@rvb1977m	10.608	10.978	играли
words@rvb1977m	@rvb1977m	10.978	11.348	на
words@rvb1977m	@rvb1977m	11.348	11.718	днях
words@rvb1977m	@rvb1977m	11.718	12.09	города
words@rvb1977m	@rvb1977m	12.773	13.089	то
words@rvb1977m	@rvb1977m	13.089	13.405	есть
words@rvb1977m	@rvb1977m	13.405	13.721	уже
words@rvb1977m	@rvb1977m	13.721	14.037	ну
words@rvb1977m	@rvb1977m	14.037	14.353	мы
words@rvb1977m	@rvb1977m	14.353	14.669	были
words@rvb1977m	@rvb1977m	14.669	14.985	узнаваемыми
words@rvb1977m	@rvb1977m	14.985	15.301	но
words@rvb1977m	@rvb1977m	15.301	15.617	это
words@rvb1977m	@rvb1977m	15.617	15.933	всё
words@rvb1977m	@rvb1977m	15.933	16.249	равно
words@rvb1977m	@rvb1977m	16.249	16.565	на
words@rvb1977m	@rvb1977m	16.565	16.881	уровне
words@rvb1977m	@rvb1977m	16.881	17.197	там
words@rvb1977m	@rvb1977m	17.197	17.513	Таганрога
words@rvb1977m	@rvb1977m	17.513	17.829	Ростова
words@rvb1977m	@rvb1977m	18.593	18.953	Это
words@rvb1977m	@rvb1977m	18.953	19.313	всё
words@rvb1977m	@rvb1977m	19.313	19.673	было
words@rvb1977m	@rvb1977m	19.673	20.033	мало
words@rvb1977m	@rvb1977m	20.033	20.393	и
words@rvb1977m	@rvb1977m	20.393	20.753	всё
words@rvb1977m	@rvb1977m	20.753	21.113	это
words@rvb1977m	@rvb1977m	21.113	21.473	зависело
words@rvb1977m	@rvb1977m	21.473	21.833	от
words@rvb1977m	@rvb1977m	21.833	22.193	каких-то
words@rvb1977m	@rvb1977m	22.193	22.553	городских
words@rvb1977m	@rvb1977m	22.553	22.913	мероприятий
words@rvb1977m	@rvb1977m	22.913	23.273	то
words@rvb1977m	@rvb1977m	23.273	23.633	есть
words@rvb1977m	@rvb1977m	23.633	23.993	если
words@rvb1977m	@rvb1977m	23.993	24.353	комитет
words@rvb1977m	@rvb1977m	24.353	24.713	по
words@rvb1977m	@rvb1977m	24.713	25.073	делам
words@rvb1977m	@rvb1977m	25.073	25.433	молодежи
words@rvb1977m	@rvb1977m	25.433	25.793	выделит
words@rvb1977m	@rvb1977m	25.793	26.153	там
words@rvb1977m	@rvb1977m	26.153	26.513	три
words@rvb1977m	@rvb1977m	26.513	26.873	копейки
words@rvb1977m	@rvb1977m	26.873	27.233	поставит
words@rvb1977m	@rvb1977m	27.233	27.593	там
words@rvb1977m	@rvb1977m	27.593	27.953	барабан
words@rvb1977m	@rvb1977m	27.953	28.313	с
words@rvb1977m	@rvb1977m	28.313	28.673	колонками
words@rvb1977m	@rvb1977m	28.673	29.033	значит
words@rvb1977m	@rvb1977m	29.033	29.393	вот
words@rvb1977m	@rvb1977m	29.393	29.753	все
words@rvb1977m	@rvb1977m	29.753	30.135	играют
words@rvb1977m	@rvb1977m	30.9	31.13	нет
words@rvb1977m	@rvb1977m	31.13	31.36	значит
words@rvb1977m	@rvb1977m	31.36	31.592	нет
words@rvb1977m	@rvb1977m	31.925	32.118	это
words@rvb1977m	@rvb1977m	32.118	32.312	было
words@rvb1977m	@rvb1977m	33.507	33.896	это
words@rvb1977m	@rvb1977m	33.896	34.285	раздражало
words@rvb1977m	@rvb1977m	34.285	34.675	жутко
words@rvb1977m	@rvb1977m	34.733	34.849	и
words@rvb1977m	@rvb1977m	36.754	37.123	хотелось
words@rvb1977m	@rvb1977m	37.123	37.492	играть
words@rvb1977m	@rvb1977m	37.492	37.861	все
words@rvb1977m	@rvb1977m	37.861	38.231	время
words@rvb1977m	@rvb1977m	38.78	39.084	в
words@rvb1977m	@rvb1977m	39.084	39.388	принципе
words@rvb1977m	@rvb1977m	39.388	39.692	вот
words@rvb1977m	@rvb1977m	39.692	39.996	наша
words@rvb1977m	@rvb1977m	39.996	40.3	вот
words@rvb1977m	@rvb1977m	40.3	40.604	эта
words@rvb1977m	@rvb1977m	40.604	40.908	молодежная
words@rvb1977m	@rvb1977m	40.908	41.212	группа
words@rvb1977m	@rvb1977m	41.212	41.516	она
words@rvb1977m	@rvb1977m	41.516	41.829	уже
words@rvb1977m	@rvb1977m	42.995	43.423	как
words@rvb1977m	@rvb1977m	43.423	43.851	бы
words@rvb1977m	@rvb1977m	43.851	44.279	распалась
words@rvb1977m	@rvb1977m	44.279	44.707	потому
words@rvb1977m	@rvb1977m	44.707	45.135	что
words@rvb1977m	@rvb1977m	45.135	45.563	любовь
words@rvb1977m	@rvb1977m	45.563	45.991	и
words@rvb1977m	@rvb1977m	45.991	46.419	интриги
words@rvb1977m	@rvb1977m	46.419	46.847	и
words@rvb1977m	@rvb1977m	46.847	47.275	романы
words@rvb1977m	@rvb1977m	47.275	47.703	уже
words@rvb1977m	@rvb1977m	47.703	48.14	пошли
words@rvb1977m	@rvb1977m	48.496	48.826	во
words@rvb1977m	@rvb1977m	48.826	49.156	время
words@rvb1977m	@rvb1977m	49.156	49.486	слета
words@rvb1977m	@rvb1977m	49.486	49.816	студентов
words@rvb1977m	@rvb1977m	49.816	50.146	строителей
words@rvb1977m	@rvb1977m	50.146	50.476	я
words@rvb1977m	@rvb1977m	50.476	50.806	там
words@rvb1977m	@rvb1977m	50.806	51.136	познакомился
words@rvb1977m	@rvb1977m	51.136	51.466	как
words@rvb1977m	@rvb1977m	51.466	51.796	раз
words@rvb1977m	@rvb1977m	51.796	52.126	с
words@rvb1977m	@rvb1977m	52.126	52.456	девочкой
words@rvb1977m	@rvb1977m	52.456	52.786	из
words@rvb1977m	@rvb1977m	52.786	53.116	Новороссийска
words@rvb1977m	@rvb1977m	53.116	53.446	и
words@rvb1977m	@rvb1977m	53.446	53.776	вот
words@rvb1977m	@rvb1977m	53.776	54.106	у
words@rvb1977m	@rvb1977m	54.106	54.436	нас
words@rvb1977m	@rvb1977m	54.436	54.766	был
words@rvb1977m	@rvb1977m	54.766	55.11	роман
words@rvb1977m	@rvb1977m	55.494	55.974	копил
words@rvb1977m	@rvb1977m	55.974	56.454	деньги
words@rvb1977m	@rvb1977m	56.454	56.934	я
words@rvb1977m	@rvb1977m	56.934	57.414	работал
words@rvb1977m	@rvb1977m	57.414	57.894	на
words@rvb1977m	@rvb1977m	57.894	58.374	рынке
words@rvb1977m	@rvb1977m	58.374	58.854	грузчиком
words@rvb1977m	@rvb1977m	58.854	59.334	в
words@rvb1977m	@rvb1977m	59.334	59.819	Таганроге
